"gene_id","transcript_id.s.","length","effective_length","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000239002.3","ENST00000459255.1",330,92.46,354.533333333333,857.64,2.63297864823438,0.0449364133359258,0.552958268703326,-4.59025495412941
"ENSG00000119335.16","ENST00000322030.12,ENST00000372686.5,ENST00000372688.8,ENST00000372692.8,ENST00000409104.7,ENST00000454747.1,ENST00000466009.5,ENST00000477806.5,ENST00000480217.5,ENST00000480536.1,ENST00000485056.1",2011.71,1771.79,-56.0666666666667,109.753333333333,-2.62258721486247,0.0455137842457544,0.552958268703326,-4.59027790798582
"ENSG00000063241.7","ENST00000085068.7,ENST00000425675.6,ENST00000438389.6,ENST00000587226.5,ENST00000589080.1,ENST00000589108.1,ENST00000590921.1,ENST00000591718.1",1070.72,829.94,-3.07333333333334,10.2466666666667,-2.62029016378837,0.0456425038037559,0.552958268703326,-4.5902829977671
"ENSG00000173465.7","ENST00000309328.7,ENST00000526433.1,ENST00000526877.1,ENST00000527413.1,ENST00000527920.5,ENST00000531405.5,ENST00000533115.5",717.51,476.74,-4.64,12.2166666666667,-2.61514082162177,0.0459325032234819,0.552958268703326,-4.59029442841568
"ENSG00000278828.1","ENST00000369163.3",1237,996.22,-55.7766666666667,96.8916666666667,-2.61345882515791,0.0460276647726585,0.552958268703326,-4.59029816839252
"ENSG00000034510.5","ENST00000233143.5",496,255.31,-313.39,792.818333333333,-2.61145263969264,0.0461414492658972,0.552958268703326,-4.59030263323359
"ENSG00000144713.12","ENST00000273223.10,ENST00000396953.6,ENST00000396957.5,ENST00000429711.6,ENST00000434963.1,ENST00000435983.5,ENST00000452606.2,ENST00000457131.1",654.73,413.96,-133.94,411.783333333333,-2.60895816028336,0.0462833565238297,0.552958268703326,-4.59030819089255
"ENSG00000162368.13","ENST00000371870.3,ENST00000371871.8,ENST00000371873.9,ENST00000450808.2,ENST00000471289.2",2657.83,2417.05,-6.23666666666667,12.325,-2.60790464665204,0.0463434323215172,0.552958268703326,-4.590310540136
"ENSG00000167085.11","ENST00000300408.7,ENST00000393345.8,ENST00000419140.6,ENST00000434917.2,ENST00000446735.5,ENST00000504124.5,ENST00000506273.1,ENST00000507748.1,ENST00000508009.5,ENST00000511832.5,ENST00000511933.1,ENST00000512041.6,ENST00000513412.1,ENST00000614445.4,ENST00000617874.4",1268.86,1028.12,-29.8366666666667,89.425,-2.60464862922944,0.0465296425611035,0.552958268703326,-4.59031780840533
"ENSG00000118939.17","ENST00000377595.7,ENST00000419068.1,ENST00000471792.6,ENST00000606347.1,ENST00000607339.1,ENST00000618773.4",833.08,592.3,-6.63000000000001,14.3583333333333,-2.59837589539466,0.0468906821291098,0.552958268703326,-4.5903318433156
"ENSG00000155438.11","ENST00000285814.8,ENST00000423105.5,ENST00000447132.5,ENST00000451734.1,ENST00000477693.1,ENST00000481978.5,ENST00000498570.1",1365.3,1124.52,-7.02000000000001,16.51,-2.5952217472224,0.0470733785814227,0.552958268703326,-4.59033891676807
"ENSG00000213221.4","ENST00000371738.3,ENST00000371739.3",750.55,509.77,-3.68,9.47333333333333,-2.5906205655814,0.0473412840286225,0.552958268703326,-4.59034925480116
"ENSG00000212232.1","ENST00000390930.1",237,19.3,1645.52,2673.85,2.58950581087934,0.0474064407998571,0.552958268703326,-4.59035176293738
"ENSG00000139318.7","ENST00000279488.7,ENST00000308385.6,ENST00000547140.1,ENST00000547291.1,ENST00000548755.1",2309.97,2069.19,-10.9566666666667,28.4616666666667,-2.58767668958796,0.0475135637117451,0.552958268703326,-4.59035588130296
"ENSG00000171159.4","ENST00000372994.1,ENST00000486420.1,ENST00000489240.1,ENST00000492588.1",735.29,494.51,-4.80666666666667,11.81,-2.58462094339759,0.0476931130324501,0.552958268703326,-4.59036276964678
"ENSG00000273983.1","ENST00000614378.1",2411,2170.22,-16.81,26.9616666666667,-2.579293579995,0.0480079080095154,0.552958268703326,-4.59037480318385
"ENSG00000188243.12","ENST00000355801.4,ENST00000377612.8,ENST00000377615.7,ENST00000377619.9,ENST00000406936.7,ENST00000460675.5,ENST00000464050.5,ENST00000471682.1,ENST00000477377.1,ENST00000483290.5,ENST00000486516.5,ENST00000497707.5,ENST00000626103.1",590.71,350.11,-9.52000000000001,23.05,-2.57840542975916,0.0480606087326907,0.552958268703326,-4.59037681237751
"ENSG00000277775.1","ENST00000618052.1",411,170.79,-93.8533333333334,179.656666666667,-2.57555070815912,0.048230428252368,0.552958268703326,-4.5903832762536
"ENSG00000070761.7","ENST00000262498.7,ENST00000562443.1,ENST00000562622.5,ENST00000564150.1,ENST00000565880.1,ENST00000567092.1,ENST00000567660.1",1340.27,1099.49,-3.51,9.46833333333333,-2.5716478712586,0.0484636553041398,0.552958268703326,-4.59039212782529
"ENSG00000115758.12","ENST00000234111.8,ENST00000405333.5,ENST00000443218.1,ENST00000446285.5",2328.03,2087.26,-16.3933333333333,35.5633333333333,-2.57116277423535,0.0484927295772147,0.552958268703326,-4.59039322918647
"ENSG00000106305.9","ENST00000223029.7,ENST00000395236.2,ENST00000400479.6,ENST00000415999.1",1213.13,972.35,-5.79333333333334,15.3433333333333,-2.57114351081181,0.0484938845217119,0.552958268703326,-4.59039327292736
"ENSG00000167118.10","ENST00000372847.1,ENST00000372850.5,ENST00000372853.8,ENST00000452446.2,ENST00000470840.5,ENST00000483206.1",1359.8,1119.02,-3.88,10.86,-2.56749784546893,0.0487130014722942,0.552958268703326,-4.5904015583753
"ENSG00000111640.14","ENST00000229239.9,ENST00000396856.5,ENST00000396858.5,ENST00000396859.5,ENST00000396861.5,ENST00000466525.1,ENST00000466588.5,ENST00000474249.5,ENST00000492719.5,ENST00000496049.1,ENST00000619601.1",1263.15,1022.37,-268.033333333333,866.49,-2.56562459600561,0.0488260090463656,0.552958268703326,-4.59040582136479
"ENSG00000117143.13","ENST00000271469.7,ENST00000367924.1,ENST00000367925.5,ENST00000367926.8,ENST00000474728.1,ENST00000476240.1,ENST00000486089.1",2165.9,1925.12,-3.69333333333334,9.46333333333333,-2.56524691744667,0.0488488278106656,0.552958268703326,-4.59040668132272
"ENSG00000187837.3","ENST00000343677.3",642,401.23,-108.59,193.585,-2.56504368256484,0.0488611117553207,0.552958268703326,-4.59040714414481
"ENSG00000172380.5","ENST00000370982.3,ENST00000494936.1",4251.02,4010.25,-4.54666666666667,8.18,-2.56343138193622,0.0489586817869319,0.552958268703326,-4.59041081741053
"ENSG00000043093.13","ENST00000292782.8,ENST00000460412.5,ENST00000466812.1,ENST00000469954.5,ENST00000487822.5,ENST00000492563.1,ENST00000497606.5,ENST00000632685.1",3330.97,3090.2,-2.54666666666667,4.28333333333333,-2.56085475148347,0.0491150495874176,0.552958268703326,-4.59041669362739
"ENSG00000183978.7","ENST00000328434.7,ENST00000586680.1",771.7,530.92,-7.58333333333333,19.7916666666667,-2.55676629630665,0.0493642814462418,0.552958268703326,-4.59042603269582
"ENSG00000100934.14","ENST00000307712.10,ENST00000537403.5,ENST00000545328.6,ENST00000548032.6,ENST00000553925.1,ENST00000553970.1,ENST00000554615.1,ENST00000555017.5,ENST00000555363.1,ENST00000555425.5,ENST00000555682.1,ENST00000556092.5,ENST00000557280.5,ENST00000557437.1,ENST00000625395.1",2606.29,2365.53,-5.67,16.8516666666667,-2.55191084000696,0.0496620577600903,0.552958268703326,-4.59043714773509
"ENSG00000134308.13","ENST00000238081.7,ENST00000381844.8,ENST00000446619.1,ENST00000460093.1,ENST00000474715.1",2184.19,1943.43,-25.5733333333334,60.96,-2.55074439909642,0.0497338840492534,0.552958268703326,-4.59043982181089
"ENSG00000114978.17","ENST00000396049.4,ENST00000463975.1,ENST00000488006.1,ENST00000494600.1,ENST00000495286.5,ENST00000497054.5",3795.78,3555.01,-7.24666666666667,14.6966666666667,-2.54946203129563,0.0498129791565946,0.552958268703326,-4.59044276338412
